model,timestamp,gross_return,turnover,net_return,gross_cumulative_return,net_cumulative_return
Linear Regression,1629848700,-0.0010090470459545031,1.0,-0.002009047045954503,-0.0010090470459545031,-0.002009047045954504
Linear Regression,1629849900,0.0004741549491882324,1.0,-0.0005258450508117676,-0.0005353705414170573,-0.002533835649320304
Linear Regression,1629851100,0.0007029176922515035,0.6666666666666666,3.625102558483682e-05,0.00016717082940886918,-0.002497676477876354
Linear Regression,1629852300,-0.0012450417852960527,1.0,-0.0022450417852960527,-0.0010780790905551285,-0.004737110875113415
Linear Regression,1629853500,-0.0012787182349711657,1.0,-0.0022787182349711657,-0.0023554187661344317,-0.0070050345691523574
Linear Regression,1629854700,-0.000813682796433568,0.6666666666666666,-0.0014803494631002345,-0.0031671849988396117,-0.008475014133089154
Linear Regression,1629855900,0.0014700889587402344,1.0,0.00047008895874023435,-0.001701752083796415,-0.008008909184917923
Linear Regression,1629857100,0.00029727816581726074,0.6666666666666666,-0.0003693885008494059,-0.0014049798117172774,-0.008375339286810113
Linear Regression,1629858300,0.0014534194488078356,0.0,0.0014534194488078356,4.6397612107007546e-05,-0.00693409271901213
Linear Regression,1629859500,-0.0001890261919470504,1.0,-0.0011890261919470504,-0.00014263735020392243,-0.008114874093098856
Linear Regression,1629860700,-0.0008939802646636963,1.0,-0.0018939802646636963,-0.001036490099891485,-0.009993484946379971
Linear Regression,1629861900,-0.0012568136444315314,0.6666666666666666,-0.001923480311098198,-0.0022920010694231774,-0.011897742985944593
Linear Regression,1629863100,-0.0005967119941487908,1.0,-0.0015967119941487909,-0.0028873453990432285,-0.01347545771116443
Linear Regression,1629864300,-0.0007455647282768041,0.6666666666666666,-0.0014122313949434706,-0.003630757424432196,-0.014868658641666976
Linear Regression,1629865500,5.43395581189543e-05,0.6666666666666666,-0.0006123271085477123,-0.0035766151600673535,-0.015471881267460685
Linear Regression,1629866700,-0.0005081793060526252,1.0,-0.0015081793060526252,-0.004082976904309921,-0.016956726202359995
Linear Regression,1629867900,-0.00042512034997344017,1.0,-0.0014251203499734402,-0.004506361497712885,-0.018357681176753515
Linear Regression,1629869100,-0.001040339469909668,0.3333333333333333,-0.0013736728032430012,-0.005542012821890818,-0.019706136532633423
Linear Regression,1629870300,0.00027821469120681286,1.3333333333333333,-0.0010551186421265204,-0.005265340000069951,-0.020740462862740006
Linear Regression,1629871500,0.0004461506614461541,1.0,-0.0005538493385538459,-0.004821538473547604,-0.021282825109656067
Linear Regression,1629872700,0.002009451389312744,0.6666666666666666,0.0013427847226460776,-0.002821775731419174,-0.019968618639421898
Linear Regression,1629873900,-0.00020498043159022927,0.6666666666666666,-0.0008716470982568959,-0.0030261777542021084,-0.02082286014918555
Linear Regression,1629875100,0.0013984541001264006,1.0,0.00039845410012640057,-0.0016319556247638145,-0.02043270300306188
Linear Regression,1629876300,0.0009554922580718994,1.3333333333333333,-0.0003778410752614339,-0.0006780226876569317,-0.02080282376385012
Linear Regression,1629877500,-0.00023830932332202792,0.6666666666666666,-0.0009049759899886946,-0.0009161704318511044,-0.021688973697808644
Linear Regression,1629878700,0.00011407339479774237,0.6666666666666666,-0.0005525932718689243,-0.0008022015477247013,-0.02222958178873846
Linear Regression,1629879900,-0.005740910768508911,1.0,-0.006740910768508911,-0.006538506948729816,-0.02882064492998826
Linear Regression,1629881100,0.0034821134759113193,1.0,0.0024821134759113192,-0.003079161295976962,-0.026410067565242
Linear Regression,1629882300,-0.0003120899200439453,1.6666666666666665,-0.001978756586710612,-0.0033902902408182722,-0.028336565056802487
Linear Regression,1629883500,-0.0004759926814585924,1.3333333333333333,-0.0018093260147919257,-0.0038646691689342427,-0.03009462098726723
Linear Regression,1629884700,0.0006256501656025648,0.6666666666666666,-4.101650106410183e-05,-0.003241436934237174,-0.030134403112277663
Linear Regression,1629885900,0.0015796024817973375,0.6666666666666666,0.0009129358151306709,-0.0016669546342656938,-0.02924897807301574
Linear Regression,1629887100,0.002040386199951172,1.0,0.0010403861999511719,0.00037003033445381917,-0.028239022106214318
Linear Regression,1629888300,-0.0001604459248483181,1.3333333333333333,-0.0014937792581816514,0.00020952503974625003,-0.02969061849890231
Linear Regression,1629889500,0.0008168716740328819,1.3333333333333333,-0.0005164616593004514,0.0010265678688490265,-0.030191746092107175
Linear Regression,1629890700,-0.00020831823348999023,1.0,-0.0012083182334899903,0.0008180357825540163,-0.03136358308829312
Linear Regression,1629891900,0.0010880231639021076,1.0,8.80231639021076e-05,0.0019069489883365431,-0.031278320646205615
Linear Regression,1629893100,-0.00019093346782028675,1.3333333333333333,-0.00152426680115362,0.0017156514201328577,-0.03275491094160232
Linear Regression,1629894300,0.0003681083471747115,1.6666666666666665,-0.001298558319491955,0.0020843913129162672,-0.034010935098986894
Linear Regression,1629895500,0.0003474154509603977,0.6666666666666666,-0.0003192512157062689,0.0024325309136246087,-0.03431932828231554
Linear Regression,1629896700,-0.0005654891720041633,0.6666666666666666,-0.0012321558386708298,0.0018656661717282308,-0.035509197360264144
Linear Regression,1629897900,-0.0011729299658327363,0.6666666666666666,-0.0018395966324994029,0.000690547910136452,-0.03728347139287691
Linear Regression,1629899100,0.00043314648792147636,0.6666666666666666,-0.00023352017874519028,0.0011239935064599749,-0.03750828512871818
Linear Regression,1629900300,0.001353919506072998,1.0,0.000353919506072998,0.0024794348092660456,-0.03716764053639143
Linear Regression,1629901500,0.001432399032637477,0.6666666666666666,0.0007657323659708103,0.003915385381925818,-0.036430368635746
Linear Regression,1629902700,0.00041363638592883945,1.0,-0.0005863636140711606,0.004330641313713635,-0.036995370807201944
Linear Regression,1629903900,0.00035167732858099043,1.0,-0.0006483226714190096,0.004683841630662933,-0.03761970854098906
Linear Regression,1629905100,-5.59687614440918e-05,0.6666666666666666,-0.0007226354281107584,0.004627610720403963,-0.03831515863491297
