model,rebalances,transaction_cost_bps,mean_turnover,gross_total_return,net_total_return,net_hit_rate,net_max_drawdown
Linear Regression,1943,10.0,0.8557213930348258,0.16659956035105927,-0.7789246369097819,0.28821410190427177,-0.7786438944457283
Ridge,1943,10.0,0.775776290958998,0.053768715045542814,-0.7667278022991106,0.30159547092125577,-0.7668701708755267
Decision Tree,1943,10.0,0.07891576599759821,0.2535577216978244,0.0753355355492138,0.48584662892434377,-0.07789041225294657
KNN,1943,10.0,1.5062617944758965,0.22103344915769685,-0.9347142187805648,0.1631497683993824,-0.9346286294455269
Neural Network,1943,10.0,1.3986961743009094,0.14446511713707633,-0.924574774486657,0.18373648996397324,-0.92459579078905
