model,Asset_ID,rows,rmse,mae,pearson_ic,direction_accuracy,decile_target_spread
Linear Regression,12,3888,0.0028724431357332546,0.0018430240452289581,0.0366153237960192,0.51440329218107,0.00020081977709196508
Linear Regression,13,3888,0.0038027859929838123,0.0023337588645517826,-0.027058918411676604,0.5054012345679012,-0.00035615795059129596
Ridge,0,3886,0.0022646627710801452,0.0014139782870188355,-0.007923408952227533,0.5126093669583119,-0.0002053762727882713
Ridge,1,3888,0.0012489025609023344,0.000881616841070354,-0.03890345175155228,0.5133744855967078,-5.338517439668067e-05
Ridge,2,3888,0.0025230629658710554,0.0014736305456608534,0.015009048612272547,0.5208333333333334,0.00011018916848115623
Ridge,3,3888,0.0034626838869091874,0.0022404056508094072,-0.06353929812018927,0.4974279835390947,1.0201430995948613e-05
Ridge,4,3888,0.002878255129208762,0.0017005710396915674,0.03141326857739461,0.466820987654321,0.0005332338623702526
Ridge,5,3888,0.0029606248924132525,0.0018516900017857552,0.03361222327717563,0.5102880658436214,0.00016999563376884907
Ridge,6,3888,0.0017562249802130128,0.0012437914265319705,0.0066254713012452345,0.4912551440329218,-2.2401702153729275e-05
Ridge,7,3888,0.002509862628815029,0.0016668554162606597,-0.021956855236566722,0.49691358024691357,2.9221315344329923e-05
Ridge,8,3885,0.007242011117195423,0.0047993650659918785,0.03394517957381913,0.4857142857142857,0.000359802768798545
Ridge,9,3888,0.004520004994157926,0.002120430814102292,0.01296099322001762,0.5303497942386831,0.0003610275743994862
Ridge,10,3872,0.004630298688317517,0.003017859533429146,-0.0003504678397926692,0.5054235537190083,0.0007108602439984679
Ridge,11,3886,0.0040254555616110735,0.002718475414440036,0.00025017352455952485,0.5123520329387545,0.0004432618443388492
Ridge,12,3888,0.002869148477809909,0.0018419314874336123,0.07043430355018951,0.5123456790123457,9.070373198483139e-05
Ridge,13,3888,0.003802574206155225,0.0023344086948782206,-0.02665180867517226,0.503343621399177,-0.0003809869522228837
Decision Tree,0,3886,0.0022630314757517856,0.0014121495187282562,0.03602855193834103,0.5198147195059187,-7.683847798034549e-07
Decision Tree,1,3888,0.0012446752841744953,0.0008802139782346785,-0.0001587165779527261,0.5141460905349794,-3.235561052861158e-06
Decision Tree,2,3888,0.002516102645228037,0.0014750605914741755,0.08028765045489855,0.529320987654321,-1.16330775199458e-05
Decision Tree,3,3888,0.003457288932406741,0.0022403120528906584,-0.05212878206663316,0.5282921810699589,1.575727219460532e-05
Decision Tree,4,3888,0.0029906098310442204,0.001706792856566608,-0.17715839447133608,0.536522633744856,-1.4162422303343192e-05
Decision Tree,5,3888,0.0029743583777438742,0.0018581817857921124,-0.026182688073706526,0.5061728395061729,-3.2093666959553957e-06
Decision Tree,6,3888,0.0017524425338469524,0.0012412890791893005,0.04987937412536167,0.5036008230452675,4.45602199761197e-06
Decision Tree,7,3888,0.002514952909105904,0.0016655033687129617,-0.0517028259644248,0.5318930041152263,1.2493952453951351e-05
Decision Tree,8,3885,0.007277043726027542,0.004821297246962786,-0.056350884754150066,0.48442728442728444,-9.192852303385735e-06
Decision Tree,9,3888,0.004542959313852297,0.002133102621883154,0.028097450017001105,0.5174897119341564,-1.7611522707738914e-05
Decision Tree,10,3872,0.004608092126047981,0.003016664879396558,0.13300342266496568,0.5080061983471075,3.9983351598493755e-06
Decision Tree,11,3886,0.004033845080518676,0.0027202453929930925,-0.027871722291570793,0.5036026762738034,6.626010872423649e-06
Decision Tree,12,3888,0.002836982655998839,0.0018368361052125692,0.1699029759784099,0.525977366255144,3.522129190969281e-06
Decision Tree,13,3888,0.003805274053423995,0.002336063189432025,-0.011814705944902215,0.49794238683127573,-8.236667781602591e-06
KNN,0,3886,0.0023448469072777233,0.001505273743532598,0.020506221356223975,0.49047864127637675,-0.0001454516313970089
KNN,1,3888,0.0013013480988150698,0.000937131408136338,0.012433564135472986,0.5018004115226338,0.00019467795209493488
KNN,2,3888,0.0026265495277587644,0.0015533703844994307,-0.06069538577780712,0.5162037037037037,-0.0005371745792217553
KNN,3,3888,0.003555625534100979,0.0023371956776827574,-0.018377611995197773,0.4992283950617284,-0.00016105527174659073
KNN,4,3888,0.003002057685470596,0.0018296900670975447,0.005853135270868753,0.5,0.00016690684424247593
KNN,5,3888,0.003057148761396145,0.001949926489032805,0.010338168682649284,0.5043724279835391,0.0002541891881264746
KNN,6,3888,0.0018394868382416892,0.0013079101918265224,-0.019983671002031186,0.5051440329218106,-7.2028378781396896e-06
KNN,7,3888,0.002630656625395498,0.0018097927095368505,0.014847256130348487,0.4920267489711934,0.00023580226115882397
KNN,8,3885,0.007357047190836408,0.004965811036527157,0.025547955713426947,0.49703989703989704,0.0005731924320571125
KNN,9,3888,0.004568525027766053,0.0021796103101223707,-0.0021456443760079257,0.510545267489712,-0.0004438715404830873
KNN,10,3872,0.004715258240505063,0.0031496083829551935,0.019524328383653873,0.5036157024793388,0.00028691536863334477
KNN,11,3886,0.004106565236924246,0.002816370688378811,0.008804937684552695,0.4909933093154915,0.0002202186151407659
KNN,12,3888,0.0029745429093156837,0.001970970770344138,0.0036323818489196824,0.49588477366255146,-7.49725877540186e-05
KNN,13,3888,0.0038820543926851615,0.002411003690212965,-0.0011832572931787556,0.5087448559670782,0.00011659992014756426
Neural Network,0,3886,0.002268376759522307,0.0014191169757395983,-0.0016136399790615992,0.5041173443129182,3.853449015878141e-05
Neural Network,1,3888,0.0012543620405467474,0.0008859386434778571,-0.009769571254952236,0.5113168724279835,4.622113556251861e-05
Neural Network,2,3888,0.0025254766163566827,0.0014729148242622614,0.01976463114952093,0.5290637860082305,-6.281351670622826e-05
Neural Network,3,3888,0.0034590135566597447,0.0022389129735529423,0.004535519747792248,0.5190329218106996,0.0004685007152147591
