model,source_window_rows,modeled_rows,train_rows,test_rows,runtime_seconds,rmse,mae,pearson_ic,direction_accuracy,decile_target_spread
Zero Baseline,3627788,362573,308164,54409,0.0,0.003630387483186546,0.0020918298978358507,,,
Linear Regression,3627788,362573,308164,54409,0.7103636999963783,0.0036300572791684253,0.002092986134812236,0.020922385053403946,0.5028028451175357,0.0001304993056692183
Ridge,3627788,362573,308164,54409,0.27460800000699237,0.0036314983816714374,0.0020927959121763706,0.009044842917707529,0.5042180521604882,0.00017970261978916824
Decision Tree,3627788,362573,308164,54409,22.436521099996753,0.0036421030657766444,0.0020955605432391167,-0.0012680407410515836,0.5148045360142623,9.497895007370971e-06
KNN,3627788,362573,20000,54409,4.986619199975394,0.0037162376656916627,0.0021941165905445814,0.009323739493784792,0.5011487070153835,0.00012839182454627007
Neural Network,3627788,362573,308164,54409,25.781818500021473,0.0036371673130391998,0.0020958436653017998,0.012175221851553368,0.5107978459446048,0.00021584867499768734
